event_id,scan_ok,scale_delta_g,age_check_needed,unexpected_bag,idle_s,items_in_tx,attendant_busy,freeze_kind,is_freeze
E085,1,11.7,0,0,1.12,7,0,none,0
E041,0,1.3,0,0,8.5,13,0,wont_scan,1
E056,1,288.9,0,1,5.75,13,0,unexpected_bag,1
E066,1,11.4,0,0,8.86,17,0,none,0
E091,1,84.3,0,0,1.21,12,0,none,0
E053,0,-1.0,0,0,4.49,14,0,wont_scan,1
E036,1,253.8,0,1,7.42,10,1,unexpected_bag,1
E027,1,21.0,1,0,15.86,1,1,age_restricted,1
E111,1,-6.3,0,0,0.97,7,1,none,0
E019,1,5.8,1,0,15.32,16,0,age_restricted,1
E106,1,3.2,1,0,1.49,5,0,none,0
E045,0,-5.5,0,0,6.11,8,0,wont_scan,1
E115,1,12.7,0,0,1.27,14,1,none,0
E031,1,20.6,1,0,7.66,5,0,age_restricted,1
E023,1,6.0,1,0,11.34,8,0,age_restricted,1
E005,0,12.2,0,0,6.65,10,1,wont_scan,1
E077,1,44.7,0,0,1.17,16,1,none,0
E038,1,-115.6,0,0,3.96,8,0,bag_scale,1
E075,1,14.2,0,0,2.18,7,1,none,0
E032,1,22.5,0,1,5.34,6,0,unexpected_bag,1
E110,1,4.1,0,0,8.19,13,0,none,0
E076,1,30.5,0,0,1.5,2,1,none,0
E015,1,-4.0,1,0,13.26,2,1,age_restricted,1
E062,1,15.5,0,0,1.01,12,0,none,0
E050,1,236.6,0,0,6.64,17,0,bag_scale,1
E095,1,15.7,0,0,1.05,17,1,none,0
E035,1,33.6,1,0,11.86,5,0,age_restricted,1
E073,1,28.1,0,0,1.7,17,0,none,0
E074,1,-6.8,0,0,1.43,15,0,none,0
E047,1,-10.6,1,0,11.55,3,1,age_restricted,1
E083,1,5.0,0,0,0.62,1,0,none,0
E034,1,-212.5,0,0,7.0,3,0,bag_scale,1
E078,1,-4.9,0,0,1.5,9,0,none,0
E016,1,1.3,0,1,5.21,1,0,unexpected_bag,1
E067,1,10.9,0,0,1.42,3,1,none,0
E004,1,98.5,0,1,6.02,16,0,unexpected_bag,1
E092,1,5.2,0,0,1.53,7,1,none,0
E009,0,-4.9,0,0,6.69,13,0,wont_scan,1
E071,1,5.8,0,0,1.56,12,0,none,0
E055,1,19.0,1,0,7.97,6,1,age_restricted,1
E012,1,228.5,0,1,6.63,17,1,unexpected_bag,1
E070,1,-15.2,0,0,1.4,12,1,none,0
E120,1,6.0,0,0,1.47,2,0,none,0
E013,0,8.8,0,0,15.25,17,1,wont_scan,1
E059,1,4.7,1,0,13.34,2,1,age_restricted,1
E090,1,19.2,0,0,2.12,9,1,none,0
E028,1,67.3,0,1,8.37,10,0,unexpected_bag,1
E043,1,-3.1,1,0,13.86,17,1,age_restricted,1
E051,1,10.8,1,0,7.47,13,0,age_restricted,1
E021,0,4.6,0,0,6.34,8,0,wont_scan,1
E108,1,0.0,0,0,1.64,6,0,none,0
E086,1,23.7,0,0,0.45,9,0,none,0
E112,1,4.1,0,0,0.98,13,0,none,0
E025,0,14.5,0,0,10.29,4,1,wont_scan,1
E022,1,152.3,0,0,7.66,17,1,bag_scale,1
E072,1,11.5,0,0,1.57,17,0,none,0
E113,1,11.4,0,0,2.38,6,0,none,0
E087,1,14.8,0,0,1.46,3,0,none,0
E093,1,-9.7,0,0,1.0,11,1,none,0
E079,1,16.4,0,0,6.83,3,0,none,0
E054,1,306.7,0,0,6.13,6,1,bag_scale,1
E082,1,22.8,0,0,1.96,10,0,none,0
E030,1,-342.8,0,0,6.55,6,1,bag_scale,1
E011,1,19.5,1,0,8.75,4,0,age_restricted,1
E105,1,1.7,0,0,1.6,6,1,none,0
E084,1,-8.2,1,0,1.02,12,0,none,0
E006,1,332.1,0,0,4.21,1,1,bag_scale,1
E042,1,310.6,0,0,4.33,1,0,bag_scale,1
E026,1,337.2,0,0,3.61,12,0,bag_scale,1
E107,1,-11.0,0,0,2.42,14,0,none,0
E007,1,14.0,1,0,8.56,6,0,age_restricted,1
E058,1,338.3,0,0,7.88,13,0,bag_scale,1
E089,1,6.4,0,0,1.64,11,0,none,0
E069,1,2.4,0,0,0.79,11,0,none,0
E033,0,19.5,0,0,5.95,17,1,wont_scan,1
E010,1,184.0,0,0,4.92,13,1,bag_scale,1
E101,1,5.7,0,0,1.71,16,1,none,0
E064,1,14.1,0,0,1.91,1,0,none,0
E044,1,279.7,0,1,9.73,17,0,unexpected_bag,1
E104,1,28.5,0,0,0.68,7,0,none,0
E008,1,122.2,0,1,6.2,11,1,unexpected_bag,1
E117,1,24.1,0,0,3.03,3,1,none,0
E096,1,-13.3,0,0,2.58,12,0,none,0
E114,1,7.6,0,0,1.84,2,0,none,0
E102,1,3.4,0,0,1.13,5,0,none,0
E040,1,183.3,0,1,3.55,13,0,unexpected_bag,1
E037,1,-24.4,0,0,4.35,6,1,wont_scan,1
E057,0,17.8,0,0,11.54,1,1,wont_scan,1
E097,1,20.1,0,0,1.52,8,0,none,0
E052,1,270.5,0,1,9.01,16,0,unexpected_bag,1
E002,1,-94.9,0,0,4.49,4,0,bag_scale,1
E017,0,27.9,0,0,3.71,4,0,wont_scan,1
E065,1,2.7,0,0,1.1,7,0,none,0
E046,1,410.5,0,0,7.13,2,1,bag_scale,1
E024,1,304.2,0,1,5.28,15,0,unexpected_bag,1
E119,1,-0.3,0,0,1.55,17,1,none,0
E003,1,50.7,1,0,11.25,13,0,age_restricted,1
E063,1,14.2,0,0,1.06,17,0,none,0
E109,1,-12.5,0,0,2.23,12,0,none,0
E080,1,3.7,0,0,1.22,6,1,none,0
E094,1,0.5,0,0,5.87,1,0,none,0
E014,1,365.0,0,0,5.23,12,1,bag_scale,1
E116,1,0.7,0,0,0.77,3,0,none,0
E098,1,87.3,0,0,1.33,7,0,none,0
E049,0,10.0,0,0,10.05,4,0,wont_scan,1
E029,0,10.4,0,0,11.34,17,0,wont_scan,1
E103,1,13.3,0,0,2.19,10,1,none,0
E061,1,7.2,0,0,0.88,14,0,none,0
E081,1,19.9,0,0,2.01,7,0,none,0
E099,1,71.6,0,0,0.76,11,0,none,0
E100,1,1.2,0,0,7.67,15,0,none,0
E020,1,319.4,0,1,6.26,15,0,unexpected_bag,1
E060,1,280.6,0,1,3.83,7,0,unexpected_bag,1
E048,1,225.1,0,1,5.07,15,0,unexpected_bag,1
E001,0,22.6,0,0,8.04,2,1,wont_scan,1
E088,1,5.1,0,0,1.05,4,0,none,0
E039,1,23.2,1,0,7.26,13,0,age_restricted,1
E118,1,61.4,0,0,1.64,12,1,none,0
E068,1,2.5,0,0,6.59,11,0,none,0
E018,1,91.1,0,0,6.99,4,1,bag_scale,1
